DISTRICT,DDA00A001221R,DDA00A001321R,DDA00A001S21R,DDA00AC01221R,DDA00AC01321R,DDA00AC01S21R,DDA00AM01221R,DDA00AM01321R,DDA00AM01S21R,DDA00AR01221R,DDA00AR01321R,DDA00AR01S21R,DDA00AS01221R,DDA00AS01321R,DDA00AS01S21R,DDA00AW01221R,DDA00AW01321R,DDA00AW01S21R,DDC00A001221R,DDC00A001321R,DDC00A001S21R,DDC00AC01221R,DDC00AC01321R,DDC00AC01S21R,DDC00AM01221R,DDC00AM01321R,DDC00AM01S21R,DDC00AR01221R,DDC00AR01321R,DDC00AR01S21R,DDC00AS01221R,DDC00AS01321R,DDC00AS01S21R,DDC00AW01221R,DDC00AW01321R,DDC00AW01S21R,DDJ00A001221R,DDJ00A001321R,DDJ00A001S21R,DDJ00AC01221R,DDJ00AC01321R,DDJ00AC01S21R,DDJ00AM01221R,DDJ00AM01321R,DDJ00AM01S21R,DDJ00AR01221R,DDJ00AR01321R,DDJ00AR01S21R,DDJ00AS01221R,DDJ00AS01321R,DDJ00AS01S21R,DDJ00AW01221R,DDJ00AW01321R,DDJ00AW01S21R,DDK00A001221R,DDK00A001321R,DDK00A001S21R,DDK00AC01221R,DDK00AC01321R,DDK00AC01S21R,DDK00AM01221R,DDK00AM01321R,DDK00AM01S21R,DDK00AR01221R,DDK00AR01321R,DDK00AR01S21R,DDK00AS01221R,DDK00AS01321R,DDK00AS01S21R,DDK00AW01221R,DDK00AW01321R,DDK00AW01S21R,DDL00A001221R,DDL00A001321R,DDL00A001S21R,DDL00AC01221R,DDL00AC01321R,DDL00AC01S21R,DDL00AM01221R,DDL00AM01321R,DDL00AM01S21R,DDL00AR01221R,DDL00AR01321R,DDL00AR01S21R,DDL00AS01221R,DDL00AS01321R,DDL00AS01S21R,DDL00AW01221R,DDL00AW01321R,DDL00AW01S21R,DDQ00A001221R,DDQ00A001321R,DDQ00A001S21R,DDQ00AC01221R,DDQ00AC01321R,DDQ00AC01S21R,DDQ00AM01221R,DDQ00AM01321R,DDQ00AM01S21R,DDQ00AR01221R,DDQ00AR01321R,DDQ00AR01S21R,DDQ00AS01221R,DDQ00AS01321R,DDQ00AS01S21R,DDQ00AW01221R,DDQ00AW01321R,DDQ00AW01S21R,DDT00A001221R,DDT00A001321R,DDT00A001S21R,DDT00AC01221R,DDT00AC01321R,DDT00AC01S21R,DDT00AM01221R,DDT00AM01321R,DDT00AM01S21R,DDT00AR01221R,DDT00AR01321R,DDT00AR01S21R,DDT00AS01221R,DDT00AS01321R,DDT00AS01S21R,DDT00AW01221R,DDT00AW01321R,DDT00AW01S21R,DDU00A001221R,DDU00A001321R,DDU00A001S21R,DDU00AC01221R,DDU00AC01321R,DDU00AC01S21R,DDU00AM01221R,DDU00AM01321R,DDU00AM01S21R,DDU00AR01221R,DDU00AR01321R,DDU00AR01S21R,DDU00AS01221R,DDU00AS01321R,DDU00AS01S21R,DDU00AW01221R,DDU00AW01321R,DDU00AW01S21R,DDX00A001221R,DDX00A001321R,DDX00A001S21R,DDX00AC01221R,DDX00AC01321R,DDX00AC01S21R,DDX00AM01221R,DDX00AM01321R,DDX00AM01S21R,DDX00AR01221R,DDX00AR01321R,DDX00AR01S21R,DDX00AS01221R,DDX00AS01321R,DDX00AS01S21R,DDX00AW01221R,DDX00AW01321R,DDX00AW01S21R,DDY00A001221R,DDY00A001321R,DDY00A001S21R,DDY00AC01221R,DDY00AC01321R,DDY00AC01S21R,DDY00AM01221R,DDY00AM01321R,DDY00AM01S21R,DDY00AR01221R,DDY00AR01321R,DDY00AR01S21R,DDY00AS01221R,DDY00AS01321R,DDY00AS01S21R,DDY00AW01221R,DDY00AW01321R,DDY00AW01S21R,DDZ00A001221R,DDZ00A001321R,DDZ00A001S21R,DDZ00AC01221R,DDZ00AC01321R,DDZ00AC01S21R,DDZ00AM01221R,DDZ00AM01321R,DDZ00AM01S21R,DDZ00AR01221R,DDZ00AR01321R,DDZ00AR01S21R,DDZ00AS01221R,DDZ00AS01321R,DDZ00AS01S21R,DDZ00AW01221R,DDZ00AW01321R,DDZ00AW01S21R,DISTNAME,DNB00A001221R,DNB00A001321R,DNB00A001S21R,DNB00AC01221R,DNB00AC01321R,DNB00AC01S21R,DNB00AM01221R,DNB00AM01321R,DNB00AM01S21R,DNB00AR01221R,DNB00AR01321R,DNB00AR01S21R,DNB00AS01221R,DNB00AS01321R,DNB00AS01S21R,DNB00AW01221R,DNB00AW01321R,DNB00AW01S21R,DNE00A001221R,DNE00A001321R,DNE00A001S21R,DNE00AC01221R,DNE00AC01321R,DNE00AC01S21R,DNE00AM01221R,DNE00AM01321R,DNE00AM01S21R,DNE00AR01221R,DNE00AR01321R,DNE00AR01S21R,DNE00AS01221R,DNE00AS01321R,DNE00AS01S21R,DNE00AW01221R,DNE00AW01321R,DNE00AW01S21R,DNN00A001221R,DNN00A001321R,DNN00A001S21R,DNN00AC01221R,DNN00AC01321R,DNN00AC01S21R,DNN00AM01221R,DNN00AM01321R,DNN00AM01S21R,DNN00AR01221R,DNN00AR01321R,DNN00AR01S21R,DNN00AS01221R,DNN00AS01321R,DNN00AS01S21R,DNN00AW01221R,DNN00AW01321R,DNN00AW01S21R,DNT00A001221R,DNT00A001321R,DNT00A001S21R,DNT00AC01221R,DNT00AC01321R,DNT00AC01S21R,DNT00AM01221R,DNT00AM01321R,DNT00AM01S21R,DNT00AR01221R,DNT00AR01321R,DNT00AR01S21R,DNT00AS01221R,DNT00AS01321R,DNT00AS01S21R,DNT00AW01221R,DNT00AW01321R,DNT00AW01S21R
"'099902",44,18,67,66,29,82,32,14,68,44,16,62,73,50,91,39,6,48,36,10,67,43,0,86,21,4,75,35,8,54,71,43,86,44,11,56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,10,67,43,0,86,21,4,75,35,8,54,71,43,86,44,11,56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,8,68,-1,-1,-1,20,0,80,33,13,60,.,.,.,44,11,56,39,12,67,33,0,83,22,11,67,36,0,45,71,43,86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"CHILLICOTHE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47,21,67,71,35,81,35,16,66,46,19,65,73,53,93,38,4,46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'099903",43,18,74,45,13,71,44,20,75,40,16,72,61,33,89,18,5,52,4,0,44,-1,-1,-1,0,0,70,10,0,40,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,0,44,-1,-1,-1,0,0,70,10,0,40,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,0,0,33,-1,-1,-1,0,0,63,0,0,25,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"QUANAH ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,18,74,46,13,72,45,20,75,41,16,72,63,34,90,19,5,54,50,25,94,-1,-1,-1,80,60,100,40,20,100,-1,-1,-1,.,.,.
"'100903",35,12,64,31,8,58,36,15,67,38,14,64,34,12,68,30,7,65,24,7,41,0,0,18,37,21,47,22,4,41,11,0,44,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,7,41,0,0,18,37,21,47,22,4,41,11,0,44,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,25,7,42,0,0,20,37,21,47,23,4,42,13,0,38,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"KOUNTZE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,13,65,32,8,60,36,15,68,38,15,65,34,12,68,29,7,65,78,11,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
"'100904",33,13,63,36,13,66,25,8,60,38,14,65,50,28,73,24,7,55,27,10,62,25,0,63,29,14,61,32,10,61,-1,-1,-1,8,0,62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,10,62,25,0,63,29,14,61,32,10,61,-1,-1,-1,8,0,62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,17,50,.,.,.,33,17,50,33,17,50,.,.,.,.,.,.,26,9,64,25,0,63,27,14,64,32,8,64,-1,-1,-1,8,0,62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SILSBEE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,13,63,36,13,66,25,8,60,38,14,65,50,28,73,24,7,55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'100905",54,25,81,58,32,83,55,26,82,52,22,79,59,38,82,47,16,78,29,4,65,17,8,50,40,6,77,24,2,59,25,0,75,21,0,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,5,65,17,8,50,42,8,77,24,2,60,25,0,75,21,0,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45,0,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,28,4,63,18,9,45,40,7,77,22,2,56,25,0,75,17,0,50,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,"HARDIN-JEFFERSON ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,55,26,81,60,32,83,55,27,82,53,23,80,59,38,82,48,16,79,70,44,96,-1,-1,-1,63,38,100,80,40,90,-1,-1,-1,-1,-1,-1
"'100907",51,24,78,56,24,82,48,23,78,53,23,77,60,38,82,38,11,69,18,8,50,21,7,57,26,15,59,13,4,49,43,14,57,0,0,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,8,52,19,6,63,27,15,61,16,4,51,38,13,50,0,0,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,8,50,21,7,57,26,15,59,13,4,49,43,14,57,0,0,17,43,0,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,"LUMBERTON ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,24,78,56,25,83,49,24,78,54,24,77,60,38,82,39,11,70,72,34,96,100,50,100,60,27,87,84,32,100,83,67,100,29,14,100
"'100908",30,7,61,24,2,58,21,4,56,36,10,63,39,18,63,31,3,73,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,0,0,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,"WEST HARDIN COUNTY CISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,7,61,24,2,58,21,4,56,36,10,63,39,18,63,32,3,74,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.
"'101802",28,10,61,23,7,56,29,9,62,34,14,67,16,3,49,17,3,47,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,8,58,20,5,52,26,8,60,31,12,65,11,2,43,14,2,44,27,9,60,22,6,55,29,9,62,33,14,67,16,1,49,16,2,46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,9,60,22,6,55,29,9,62,33,14,67,16,1,49,16,2,46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,40,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,"SER-NINOS CHARTER SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,21,67,50,33,83,27,18,64,41,23,73,-1,-1,-1,29,14,57,65,24,91,50,21,93,73,27,91,74,35,97,45,0,82,54,8,85
"'101803",54,24,82,53,21,85,51,22,80,61,33,85,44,20,76,44,6,74,36,12,68,-1,-1,-1,30,10,60,30,10,60,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,12,68,-1,-1,-1,30,10,60,30,10,60,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,12,68,-1,-1,-1,30,10,60,30,10,60,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ARISTOI CLASSICAL ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54,24,82,54,22,85,52,23,80,62,33,85,45,21,77,43,5,74,49,22,76,29,0,86,50,17,67,77,46,85,-1,-1,-1,-1,-1,-1
"'101804",14,3,39,10,2,44,7,2,32,19,4,41,23,8,45,6,0,31,4,1,23,3,1,24,3,1,27,5,1,21,6,0,18,2,0,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,1,23,3,1,24,3,1,27,4,1,21,6,0,19,2,0,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,4,1,23,3,1,24,3,1,27,5,1,21,6,0,18,2,0,24,0,0,21,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,"GEORGE I SANCHEZ CHARTER",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,5,47,10,1,56,7,1,31,28,7,55,35,14,57,4,0,30,33,7,66,25,4,69,20,5,51,45,10,75,28,11,66,36,0,64
"'101806",24,7,54,16,4,51,16,5,47,32,10,60,33,17,62,20,3,53,15,3,46,8,0,39,11,3,44,20,4,52,9,3,31,20,1,54,15,5,41,12,2,39,16,5,43,18,8,46,.,.,.,6,0,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,4,44,10,1,39,13,4,43,19,6,50,11,4,35,14,1,42,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,5,41,12,2,39,16,5,43,18,8,46,.,.,.,6,0,25,21,6,60,0,0,43,19,6,63,27,8,64,10,5,38,36,4,68,12,2,41,11,0,38,7,1,36,17,3,48,9,2,29,12,0,47,15,3,48,14,0,43,10,0,20,13,0,53,29,14,71,-1,-1,-1,"RAUL YZAGUIRRE SCHOOLS FOR SUCCESS",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,11,63,22,8,60,14,3,47,45,13,67,54,31,87,27,2,61,49,18,84,33,9,80,33,16,70,68,23,94,50,22,83,46,15,100
"'101807",48,28,84,21,7,71,47,27,87,57,40,87,.,.,.,63,25,88,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"UNIVERSITY OF HOUSTON CHARTER SCHO",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48,28,84,21,7,71,47,27,87,57,40,87,.,.,.,63,25,88,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'101810",22,9,48,20,1,40,21,11,47,26,12,53,.,.,.,17,2,41,22,8,49,15,0,42,23,11,52,24,9,51,.,.,.,20,1,41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,8,49,15,0,42,23,11,52,24,9,51,.,.,.,20,1,41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,8,49,15,0,42,23,11,52,24,9,51,.,.,.,20,1,41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ACADEMY OF ACCELERATED LEARNING IN",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,6,39,21,0,31,10,6,34,20,10,49,.,.,.,9,0,34,82,48,98,60,20,80,82,53,100,100,59,100,.,.,.,40,20,100
"'101811",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"EXCEL ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'101814",18,6,45,11,3,43,16,5,40,25,9,51,8,3,37,16,3,42,14,4,39,7,2,33,14,4,38,19,6,45,8,8,23,12,1,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,4,39,6,2,33,14,4,37,19,5,46,7,7,20,10,1,32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,14,4,39,7,2,33,14,4,37,19,6,45,8,8,23,11,1,32,16,0,39,-1,-1,-1,21,0,29,19,0,56,-1,-1,-1,-1,-1,-1,"THE VARNETT PUBLIC SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,19,7,43,11,4,45,16,6,37,26,10,49,12,3,39,19,5,45,34,11,80,30,5,80,27,7,77,51,20,87,0,0,50,35,6,88
"'101815",40,20,78,28,17,78,41,17,75,51,29,84,10,0,60,26,5,74,32,13,74,26,11,74,35,12,70,38,21,81,0,0,40,18,0,71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,12,73,22,6,72,34,12,70,37,20,80,-1,-1,-1,18,0,71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,13,74,26,11,74,35,12,70,38,21,81,0,0,40,18,0,71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ALIEF MONTESSORI COMMUNITY SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51,26,84,21,14,79,45,18,82,76,42,91,-1,-1,-1,44,22,78,74,57,100,-1,-1,-1,86,71,100,86,71,100,-1,-1,-1,-1,-1,-1
"'101819",55,29,83,62,38,78,65,40,87,52,24,83,41,20,80,39,11,78,52,21,83,77,46,88,63,35,89,48,13,82,27,8,69,32,2,77,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,49,24,80,51,27,71,60,34,85,45,18,79,27,8,69,33,11,74,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,46,26,76,36,16,61,58,34,82,41,23,77,.,.,.,36,21,71,46,26,76,36,16,61,58,34,82,41,23,77,.,.,.,36,21,71,52,21,83,77,46,88,63,35,89,48,13,82,27,8,69,32,2,77,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,"AMIGOS POR VIDA-FRIENDS FOR LIFE P",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,77,31,96,-1,-1,-1,78,44,89,78,33,100,-1,-1,-1,60,0,100,88,63,99,95,79,100,94,77,100,94,63,100,59,41,94,80,20,100
"'101821",28,9,56,19,0,43,15,5,55,23,3,44,43,22,78,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HOUSTON HEIGHTS HIGH SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,9,57,19,0,43,16,5,58,23,3,45,43,22,78,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
"'101828",64,31,89,53,21,85,67,39,89,68,30,90,61,33,85,56,17,88,58,26,87,41,13,82,67,36,89,58,24,87,44,13,76,51,17,86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,58,26,86,40,13,81,67,36,89,58,24,87,44,13,76,52,16,86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,58,26,86,40,13,81,67,36,89,58,24,87,43,14,75,51,17,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,45,21,79,-1,-1,-1,53,40,80,38,13,81,.,.,.,71,14,86,"HOUSTON GATEWAY ACADEMY INC",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,33,90,58,26,87,63,37,87,76,34,93,66,43,88,57,14,91,83,46,98,85,36,98,82,62,100,88,47,99,75,38,94,77,31,92
